Method,Name,Error,Occurrences,First Seen,Last Seen
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c4b7350>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c36c7c0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:09Z,2026-06-10T20:39:09Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c5d5ae0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c459370>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:54Z,2026-06-10T20:38:54Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c4069c0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:36Z,2026-06-10T20:38:36Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c5d5590>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c6d57b0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:02Z,2026-06-10T20:39:02Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c2bdcd0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c459590>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c33c160>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetUsers,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c5fb350>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:10Z,2026-06-10T20:39:10Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c404c00>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:25Z,2026-06-10T20:39:25Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c36e140>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:45Z,2026-06-10T20:38:45Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c237350>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:22Z,2026-06-10T20:39:22Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c36d6a0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:25Z,2026-06-10T20:39:25Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c4b7130>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:18Z,2026-06-10T20:39:18Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c33e250>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetUsers,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c237790>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:53Z,2026-06-10T20:38:53Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c237570>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c458270>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:06Z,2026-06-10T20:39:06Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c33f350>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:22Z,2026-06-10T20:39:22Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c33dbf0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:47Z,2026-06-10T20:38:47Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c33cf30>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:18Z,2026-06-10T20:39:18Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c236f10>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:10Z,2026-06-10T20:39:10Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c404af0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:23Z,2026-06-10T20:39:23Z
POST,GetUsers,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c36dd00>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c2b9910>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:18Z,2026-06-10T20:39:18Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c45a580>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:36Z,2026-06-10T20:38:36Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c2191d0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:46Z,2026-06-10T20:38:46Z
POST,GetUsers,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c2359d0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:23Z,2026-06-10T20:39:23Z
